business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
OQcvO5P3gH0cuJ-bPXwfQQ,Mi Pueblo Taco Shop,1920 N Decatur Blvd,Las Vegas,NV,89108,36.1947007117,-115.2051705808,4.5,122,1,"{'BikeParking': 'False', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': True}"", 'WiFi': ""'no'"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'RestaurantsTableService': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True'}","Mexican, Restaurants","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-17:0'}"
M--CB6Fhp4XKxsR2PlcP9w,Fat Tuesday,"3500 Las Vegas Blvd S, Ste L23",Las Vegas,NV,89109,36.118822,-115.178192,4.5,258,1,"{'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'False', 'Ambience': ""{'touristy': True, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'GoodForKids': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'WiFi': ""u'no'"", 'Caters': 'False', 'HappyHour': 'False', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'BestNights': ""{'monday': False, 'tuesday': True, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'HasTV': 'True', 'DogsAllowed': 'False'}","Restaurants, Sports Bars, Bars, Nightlife, Hot Dogs, American (New)","{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '0:0-23:0', 'Saturday': '0:0-23:0', 'Sunday': '10:0-23:0'}"
DHUAQ4pzH9KKzGZDm1jZLg,Krispy Kreme,7015 W Spring Mountain Rd,Las Vegas,NV,89103,36.1252910295,-115.2457503853,3.0,209,1,"{'RestaurantsAttire': ""'casual'"", 'OutdoorSeating': 'True', 'WiFi': ""u'no'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'False', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'NoiseLevel': ""u'average'"", 'DogsAllowed': 'False', 'Caters': 'False', 'RestaurantsDelivery': 'True', 'BikeParking': 'True'}","Donuts, Restaurants, Fast Food, Food, Coffee & Tea, Cafes","{'Monday': '5:0-23:0', 'Tuesday': '5:0-23:0', 'Wednesday': '5:0-23:0', 'Thursday': '5:0-23:0', 'Friday': '5:0-23:0', 'Saturday': '5:0-23:0', 'Sunday': '5:0-23:0'}"
FfHpj1QcW510pA3CS354xw,The Coffee Shop,3300 Las Vegas Blvd S,Las Vegas,NV,89109,36.1239135738,-115.1715178205,2.5,295,1,"{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'Alcohol': ""u'full_bar'"", 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'BikeParking': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'RestaurantsGoodForGroups': 'True', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True', 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'DogsAllowed': 'False'}","Comfort Food, Food, Coffee & Tea, Hotels & Travel, Hotels, Casinos, Event Planning & Services, Restaurants, Arts & Entertainment, Breakfast & Brunch, American (Traditional), Beauty & Spas, Day Spas","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
ChQmxnYLSVIQkL8Ct8z55A,Oyster Bay Seafood & Wine Bar,3663 Las Vegas Blvd S,Las Vegas,NV,89109,36.1087732238,-115.1702363015,3.0,284,1,"{'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'GoodForKids': 'True', 'Caters': 'False', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'DogsAllowed': 'False', 'Ambience': ""{'touristy': None, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'HappyHour': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': None, 'valet': False}"", 'RestaurantsTableService': 'True'}","Breakfast & Brunch, Restaurants, American (Traditional), Seafood","{'Monday': '8:0-23:0', 'Tuesday': '8:0-23:0', 'Wednesday': '8:0-23:0', 'Thursday': '8:0-23:0', 'Friday': '8:0-0:0', 'Saturday': '8:0-0:0', 'Sunday': '8:0-23:0'}"
oJZNHz5UUVUgrZwVBVlpYw,Petrossian Bar,3600 S Las Vegas Blvd,Las Vegas,NV,89109,36.1128473337,-115.1758146286,4.0,223,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'GoodForKids': 'False', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '3', 'Alcohol': ""'full_bar'"", 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'False', 'BikeParking': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'Caters': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}"", 'OutdoorSeating': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"", 'HappyHour': 'False', 'HasTV': 'False', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'CoatCheck': 'False', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': None, 'valet': False}"", 'GoodForDancing': 'False'}","Nightlife, Pubs, Delis, Coffee & Tea, Food, Music Venues, Tea Rooms, Restaurants, Arts & Entertainment, Bars, French, Lounges, Wine Bars","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
Ye4uQAkfHbh8w0cCXCCLjQ,Café Zupas,8850 W Charleston Blvd,Las Vegas,NV,89117,36.1594764,-115.2886202,3.5,149,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'False', 'WiFi': ""'no'"", 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""'none'"", 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'True', 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'False', 'GoodForKids': 'True', 'HasTV': 'True', 'NoiseLevel': ""'average'"", 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}""}","Soup, Sandwiches, Restaurants, Salad, American (New)","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0'}"
FtaTjyMUIY457tPJahjg1A,IHOP,7490 S Las Vegas Blvd,Las Vegas,NV,89123,36.05373,-115.17167,3.5,293,1,"{'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'BikeParking': 'True', 'Alcohol': ""u'none'"", 'Caters': 'False', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'False', 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'DogsAllowed': 'False', 'DriveThru': 'False', 'CoatCheck': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'HappyHour': 'False', 'ByAppointmentOnly': 'False', 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': None, 'brunch': True, 'breakfast': True}""}","American (Traditional), American (New), Breakfast & Brunch, Restaurants, Burgers","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
tH0wF3EPPgAY14lnmK1_Sg,Makai Pacific Island Grill,1932 Rock Springs Dr,Las Vegas,NV,89128,36.1949913,-115.2461811,4.5,202,1,"{'RestaurantsPriceRange2': '1', 'RestaurantsTableService': 'False', 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'HappyHour': 'False', 'BikeParking': 'True', 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'WiFi': ""u'no'"", 'Alcohol': ""u'none'"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'HasTV': 'False', 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'GoodForMeal': ""{'dessert': False, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}""}","Asian Fusion, Barbeque, Restaurants, Hawaiian","{'Monday': '0:0-0:0', 'Tuesday': '10:30-21:0', 'Wednesday': '10:30-21:0', 'Thursday': '10:30-21:0', 'Friday': '10:30-21:0', 'Saturday': '10:30-21:0', 'Sunday': '10:30-15:0'}"
409qhf4RF0rlxcuaM576Qg,El Pollo Loco,5260 S Ft Apache,Las Vegas,NV,89148,36.0940999462,-115.2968390358,2.5,108,1,"{'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'Caters': 'True', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""'quiet'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'RestaurantsReservations': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'WiFi': ""'no'"", 'HasTV': 'True', 'RestaurantsDelivery': 'True'}","Restaurants, Mexican, Fast Food","{'Monday': '0:0-0:0', 'Tuesday': '9:30-23:0', 'Wednesday': '9:30-23:0', 'Thursday': '9:30-23:0', 'Friday': '9:30-23:0', 'Saturday': '9:30-23:0', 'Sunday': '9:30-23:0'}"
